"gene_id","ILSGR0260r_S1_BC1.bam","ILSGR0260r_S1_BC10.bam","ILSGR0260r_S1_BC11.bam","ILSGR0260r_S1_BC12.bam","ILSGR0260r_S1_BC13.bam","ILSGR0260r_S1_BC14.bam","ILSGR0260r_S1_BC15.bam","ILSGR0260r_S1_BC16.bam","ILSGR0260r_S1_BC17.bam","ILSGR0260r_S1_BC18.bam","ILSGR0260r_S1_BC19.bam","ILSGR0260r_S1_BC2.bam","ILSGR0260r_S1_BC20.bam","ILSGR0260r_S1_BC21.bam","ILSGR0260r_S1_BC22.bam","ILSGR0260r_S1_BC23.bam","ILSGR0260r_S1_BC24.bam","ILSGR0260r_S1_BC25.bam","ILSGR0260r_S1_BC26.bam","ILSGR0260r_S1_BC27.bam","ILSGR0260r_S1_BC28.bam","ILSGR0260r_S1_BC29.bam","ILSGR0260r_S1_BC3.bam","ILSGR0260r_S1_BC30.bam","ILSGR0260r_S1_BC31.bam","ILSGR0260r_S1_BC32.bam","ILSGR0260r_S1_BC33.bam","ILSGR0260r_S1_BC34.bam","ILSGR0260r_S1_BC35.bam","ILSGR0260r_S1_BC36.bam","ILSGR0260r_S1_BC37.bam","ILSGR0260r_S1_BC38.bam","ILSGR0260r_S1_BC39.bam","ILSGR0260r_S1_BC4.bam","ILSGR0260r_S1_BC40.bam","ILSGR0260r_S1_BC5.bam","ILSGR0260r_S1_BC6.bam","ILSGR0260r_S1_BC7.bam","ILSGR0260r_S1_BC8.bam","ILSGR0260r_S1_BC9.bam"
"80904",0,0,0,1,0,0,3,0,10,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,6,1,0,0,0,0,2,0,0,3,0,0,62
"69654",0,9,0,0,18,0,2,0,10,1,12,0,5,2,0,19,0,0,4,10,0,0,0,0,2,12,0,22,0,0,35,9,4,0,1,9,1,4,0,31
"110962",0,1,0,0,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,1,0,13,1,1,0,1,14,0,2,1,0,3,0,6,6,2,0,1
"216443",0,28,0,0,32,0,0,1,34,0,6,0,1,0,0,0,7,0,0,36,0,6,9,3,25,9,0,25,36,0,34,3,2,23,0,18,13,0,0,0
"216445",0,3,0,0,8,0,3,1,29,31,0,1,0,20,0,16,1,0,0,1,14,8,20,9,0,17,0,11,0,0,17,2,5,12,0,0,3,11,0,68
"71750",0,20,0,0,6,0,48,0,27,16,45,0,1,23,0,25,20,0,1,36,8,17,20,19,0,50,0,18,0,0,67,2,4,25,0,73,30,0,0,13
"108037",0,213,0,0,43,3,1,1,41,60,38,0,0,0,0,80,17,0,0,48,0,14,16,8,2,120,0,104,54,0,126,41,91,81,0,1,92,8,0,124
"20852",0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,5,2,0,7,1,0,1,0,0,7,2,0,5
"210035",0,14,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,18,2,0,0,0,0,0,0,0,2,4,0,11
"19075",0,35,0,0,51,0,0,0,37,11,10,0,0,21,0,12,21,0,0,16,0,33,26,34,0,23,0,34,3,0,2,3,4,41,0,44,14,2,5,23
"17938",0,52,0,0,57,14,1,9,20,23,35,23,30,5,0,3,7,0,0,25,13,19,31,19,3,37,0,40,8,0,25,1,35,15,1,33,100,9,0,29
"11947",27,336,14,7,200,25,23,2,426,197,361,34,48,174,0,125,134,20,44,400,43,188,175,199,70,375,0,316,247,0,493,137,53,590,16,108,432,115,30,503
"116848",2,13,0,0,9,0,0,0,64,3,18,0,8,24,0,14,6,0,3,6,18,8,3,14,2,7,0,25,4,0,29,11,0,26,1,20,34,6,0,56
"56516",0,3,0,0,0,0,0,0,3,69,5,0,21,9,0,0,3,0,0,6,2,0,0,24,0,2,0,3,0,0,53,6,78,5,3,4,0,0,0,5
"21853",0,60,0,0,36,51,0,0,16,24,74,0,0,0,0,58,0,0,0,24,0,6,3,12,0,43,0,78,5,0,39,8,27,24,0,5,5,1,0,99
"20847",1,0,2,0,3,28,6,2,1,0,12,3,2,5,0,0,6,0,0,6,1,0,0,2,0,0,0,0,0,0,10,0,1,13,0,0,0,10,0,6
"103135",0,1,0,0,35,0,0,0,0,6,11,0,0,0,0,3,0,0,0,5,33,0,0,32,0,22,0,0,27,0,14,0,3,28,0,0,0,4,0,129
"56530",1,28,1,0,30,0,0,0,58,4,22,0,5,29,0,32,21,0,0,41,24,1,1,5,10,56,0,45,40,0,24,7,48,38,0,2,24,9,0,28
"12974",19,134,0,0,44,0,0,0,39,46,40,14,0,3,0,4,13,0,0,24,8,2,9,46,1,86,0,53,43,0,79,6,24,29,33,5,77,3,2,121
"210582",0,1,0,0,0,0,0,0,17,0,2,0,0,0,0,0,17,0,0,2,20,0,0,0,0,2,0,7,0,0,12,0,0,0,0,0,0,2,0,9
"72002",0,3,0,0,1,0,0,0,3,1,0,0,0,0,0,1,1,0,0,9,0,0,0,1,0,0,0,0,2,0,1,0,2,0,0,6,0,0,0,0
"69917",0,3,0,0,0,0,0,0,26,4,9,5,0,20,0,3,1,0,0,25,0,10,1,0,0,8,0,12,0,0,0,0,5,3,0,0,7,0,5,5
"68094",0,56,0,2,43,3,13,0,48,10,23,24,31,5,0,23,0,0,8,31,16,15,0,26,9,19,0,40,20,0,63,1,24,8,3,24,52,43,0,44
"17904",1,9,0,0,2,0,0,0,1,1,3,1,0,10,0,7,2,0,0,7,7,4,0,18,0,10,0,3,0,0,16,9,1,7,1,2,4,9,6,8
"216459",0,1,0,0,1,0,0,0,11,0,3,0,0,14,0,0,4,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0
"23943",0,54,4,0,1,0,0,4,5,12,5,10,0,14,0,1,9,0,6,12,45,10,15,19,0,6,0,20,17,0,58,25,59,41,0,0,8,1,0,22
"67945",4,755,21,24,800,122,75,61,429,313,571,118,79,125,0,173,176,1,14,1163,370,464,238,445,43,749,0,822,652,0,876,641,742,643,26,160,539,236,26,435
"18813",11,332,2,2,413,63,32,0,257,138,362,1,0,33,0,117,93,0,0,214,11,154,92,52,62,372,0,260,219,0,540,76,75,485,9,75,247,22,6,259
"27370",73,762,21,3,607,52,57,48,593,323,830,58,110,202,0,342,236,11,52,698,146,478,293,586,240,575,3,560,529,0,788,248,261,983,79,274,800,251,13,786
"19344",5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,5,4,5,11,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"12566",10,12,0,0,13,2,7,0,31,2,15,7,0,3,0,17,8,0,0,9,0,33,10,21,0,10,0,5,59,0,33,38,11,43,0,14,46,17,0,42
"66118",21,29,0,2,38,3,6,7,42,10,58,15,6,4,0,94,16,1,0,36,21,8,13,13,4,50,0,69,18,0,29,26,2,45,1,2,54,52,0,68
"14533",0,11,0,0,50,1,0,0,52,15,1,0,0,12,0,16,4,0,2,37,56,1,16,11,0,29,0,35,2,0,55,7,5,11,0,0,16,4,0,15
"67596",0,25,0,6,5,2,12,0,26,2,1,0,0,52,0,3,1,1,0,18,0,19,0,6,0,1,14,2,5,0,0,9,18,0,0,2,15,0,0,28
"236604",0,0,0,115,1,0,1,0,0,4,1,0,0,0,0,2,5,1,0,0,1,0,1,27,0,15,0,1,0,0,27,0,0,23,0,6,0,0,0,5
"78887",0,0,0,0,22,0,5,0,4,7,1,0,0,0,0,0,2,0,0,1,1,1,0,2,3,2,0,1,0,0,0,0,0,12,0,0,0,0,3,3
"74203",0,14,0,0,2,0,0,0,3,0,1,0,0,3,0,3,3,0,0,16,1,0,0,1,0,12,0,12,1,0,7,0,7,18,0,5,10,5,1,4
"13494",0,2,0,0,15,0,0,0,9,21,9,0,0,6,0,10,0,0,0,6,6,1,4,24,1,59,0,2,1,0,54,1,1,10,0,0,6,4,2,92
"56218",0,52,0,0,35,5,0,0,6,15,14,0,0,6,0,9,1,0,0,0,19,34,5,28,16,28,0,48,0,0,2,17,9,10,0,8,62,6,0,33
"216505",0,35,0,0,7,0,0,0,0,10,6,7,0,15,0,33,5,0,0,29,0,4,5,166,25,1,0,12,39,0,20,12,18,31,2,20,6,20,0,42
"16886",0,0,0,0,13,0,1,4,11,6,14,0,0,7,0,1,4,0,0,12,0,4,3,3,0,0,0,0,0,0,2,1,0,4,0,0,1,6,0,8
"71523",0,0,0,0,6,6,0,0,17,2,1,4,0,13,0,0,0,0,0,7,0,8,0,0,0,6,0,0,0,0,3,1,0,2,5,0,6,0,0,1
"544752",0,0,0,0,13,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,56,0,3,4,0,2,0,1,3,0,1,0,0,1,0,0,2,0,0,0
"74522",0,20,0,0,13,1,0,0,8,0,10,0,0,0,0,0,0,0,9,18,0,0,0,0,0,4,0,6,0,0,27,0,0,3,0,1,10,5,0,24
"64934",0,40,0,0,47,0,0,0,8,2,29,0,1,1,0,3,0,0,0,91,8,4,0,19,0,41,0,18,15,0,45,6,23,15,0,24,47,6,0,77
"67900",0,3,0,0,36,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,53,0,2,0,24,0,0,8,0,2,0,3,0,7,0,0,2,0,0
"67465",0,46,0,0,6,2,1,2,38,61,38,7,12,28,0,6,13,0,0,27,6,17,56,34,10,35,0,11,32,0,71,2,42,30,0,13,82,30,0,55
"74302",0,3,0,0,5,0,0,0,2,1,17,3,0,0,0,12,2,0,0,22,4,8,0,6,0,29,0,8,3,0,19,0,0,10,3,2,6,0,0,23
"75452",0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,0,13,0,0,2,0,0,0,11,0,4,0,0,0,0,0,1,0,0,5
"66152",0,80,0,0,58,20,6,12,103,24,69,28,57,51,0,132,10,0,0,65,0,56,5,67,33,144,0,46,117,0,70,7,21,116,0,2,54,33,0,95
"67178",0,13,0,0,6,0,0,0,20,0,0,0,0,4,0,2,0,0,0,3,8,2,0,0,0,8,0,8,0,0,1,4,0,0,0,0,9,4,0,4
"18016",0,5,0,4,9,0,1,0,18,3,28,0,9,4,0,8,6,0,0,1,0,18,0,14,0,46,0,21,0,0,22,6,0,0,0,0,7,2,0,2
"18082",0,16,0,0,6,0,7,0,41,14,10,0,1,3,0,33,0,0,0,30,0,3,0,2,0,15,0,3,6,0,4,0,0,97,0,1,20,1,0,73
"107829",0,12,0,3,34,0,0,0,6,0,1,0,0,3,0,0,2,0,0,23,0,0,0,2,0,0,0,7,6,0,4,0,3,7,0,0,76,0,0,7
"11764",0,31,0,0,6,0,0,0,38,0,1,13,0,12,0,2,11,0,0,15,27,3,0,3,0,65,0,33,4,0,11,20,13,18,0,5,0,6,0,24
"14030",5,98,2,18,74,7,21,0,60,3,42,4,1,48,0,21,35,2,9,95,10,55,23,25,4,74,0,49,43,0,72,18,26,74,0,20,82,15,7,80
"279766",0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,2,16,0,0,0,0,0,0,0,9,0,1,0,0,10,10,0,0,11,0,28,0,0,3
